,encrypted_user_id,title,date,location,department,amount,description
2700,0,Small Bribe on Entry Fees,2016-06-22 10:26:00+03:00,"Ghaziabad,UttarPradesh",Temporary Vehicle Permit,50,-
2701,0,Stop Estate Agent,2016-06-22 13:10:00+03:00,"Mumbai,Maharashtra",Lease Registration,8000,-
2702,0,Crime Dept Writer Moorthi forced me and Asked 200 Rs for the Investigating the Theft case,2016-06-22 08:20:00+03:00,"Udumalaipettai,TamilNadu",Police Investigation,200,-
2703,0,Inspector Collects Money with No Reason..,2016-06-21 09:48:00+03:00,"Bangalore,Karnataka",Police Protection,150,-
2704,0,Property tax,2016-06-21 15:25:00+03:00,"Chennai,TamilNadu",Assessment,5000,-
2705,0,Fules India Distributor collected money by forcefully sold with goods,2016-06-21 02:39:00+03:00,"Chennai,TamilNadu",,500,-
2706,0,"Paid 95.00 to railway police platform no 04,Delhi sarai rohilla railway station",2016-06-19 17:53:00+03:00,"NewDelhi,Delhi",Transport of Goods,95,-
2707,0,Fssai do mr. veenit kumar demanding 1 lac for fssai license in noida,2016-06-18 03:14:00+03:00,"Noida,UttarPradesh",Food License,100000,-
2708,0,Report about Corrupt police officer,2016-06-17 04:05:00+03:00,"NewDelhi,Delhi",False Allegations,22000,-
2709,0,You cannot make your licencse without a agent,2016-06-16 10:51:00+03:00,"NaviMumbai,Maharashtra",Driving licence Process,2000,-
2710,0,Mumbai Airport,2016-06-15 14:30:00+03:00,"Mumbai,Maharashtra",Airport facilities,1000,-
2711,0,Wakad Police Chowky hassling innocent citizens for providing positive Police Verification Report,2016-06-14 18:57:00+03:00,"Pune,Maharashtra",Police Verification for Passport,500,-
2712,0,Paid a bribe of 2500 for Vehicle registration.,2016-06-14 00:33:00+03:00,"Pune,Maharashtra",Registration of Vehicle,2500,-
2713,0,Paid a bribe of 1300/- at Parcel Office in Pune Railway Station,2016-06-14 20:07:00+03:00,"Pune,Maharashtra",Vehicle Transport Booking,2700,-
2714,0,For walking on railway bridge without buying platform ticket.,2016-06-14 08:38:00+03:00,"Pune,Maharashtra",Platform ticket,30,-
2715,0,Car towed away and kept in station. Paid bribe to get it back.,2016-06-13 09:39:00+03:00,"Hyderabad,Telangana",Traffic Violations,2000,-
2716,0,Piad a bribe out of shame,2016-06-13 12:30:00+03:00,"Bangalore,Karnataka",Police Harassment,25500,-
2717,0,Police shamelessly asking money for passport verification.,2016-12-06 04:16:00+03:00,"Bangalore,Karnataka",Police Verification for Passport,500,-
2718,0,Multiple bribes to get a marriage certificate,2016-12-06 00:03:00+03:00,"Noida,UttarPradesh",Marriage Registration,1300,-
2719,0,Complaint against M/s Rohit Indane Gas Service,2016-12-06 05:09:00+03:00,"Bangalore,Karnataka",Gas Cylinder Supply,264,-
2720,0,Demanding money for giving different cards of govt bodies by post man,2016-11-06 01:18:00+03:00,"Tirupati,AndhraPradesh",Speed Post,70,-
2721,0,10th march 2014. I dnt know his name but he works in RTO office…,2016-11-06 22:35:00+03:00,"Hyderabad,Telangana",Registration of Vehicle,10000,-
2722,0,Passport,2016-10-06 01:52:00+03:00,"Hyderabad,Telangana",Police Verification for Passport,1500,-
2723,0,Corrupt Vijayanagar Sub register office,2016-09-06 12:40:00+03:00,"Bangalore,Karnataka",Marriage Registration,900,-
2724,0,Police verifiction,2016-09-06 20:56:00+03:00,"Pune,Maharashtra",Background or Personal Verification,900,-
2725,0,Birth certificate,2016-09-06 06:15:00+03:00,"Mumbai,Maharashtra",Others,5000,-
2726,0,Garepalya Panchayat office,2016-09-06 07:55:00+03:00,"Bangalore,Karnataka",Survival Certificate,1000,-
2727,0,I pay a bribe to security of international student hostel.,2016-09-06 05:22:00+03:00,"Mumbai,Maharashtra",Others,500,-
2728,0,Torturing and Harassing for giving Service Tax Registration,2016-08-06 10:09:00+03:00,"Mumbai,Maharashtra",Service Tax Registration,10000,-
2729,0,Rash Driving,2016-08-06 14:26:00+03:00,"Chennai,TamilNadu",Traffic Violations,500,-
2730,0,Paid a bribe to traffic police,2016-08-06 05:50:00+03:00,"NewDelhi,Delhi",Traffic Violations,1000,-
2731,0,Late processing of the pension amount,2016-08-06 01:08:00+03:00,"Tura,Meghalaya",Pension Processing,5000,-
2732,0,Bribe demand from every officer,2016-07-06 08:26:00+03:00,"Panruti,TamilNadu",Nativity Certificate,2000,-
